Time,Latitude,,Longitude,
233134,4202.1241,N,7141.7917,W
233135,4202.124,N,7141.7916,W
233136,4202.1239,N,7141.7917,W
233137,4202.1238,N,7141.7918,W
233138,4202.1237,N,7141.7918,W
233139,4202.1237,N,7141.7919,W
233140,4202.1237,N,7141.7919,W
233141,4202.1237,N,7141.7919,W
233142,4202.1237,N,7141.792,W
233143,4202.1237,N,7141.792,W
233144,4202.1238,N,7141.792,W
233145,4202.1238,N,7141.792,W
233146,4202.1239,N,7141.7921,W
233147,4202.1241,N,7141.7922,W
233148,4202.1242,N,7141.7922,W
233149,4202.1243,N,7141.7923,W
233150,4202.1244,N,7141.7924,W
233151,4202.1245,N,7141.7924,W
233152,4202.1245,N,7141.7925,W
233153,4202.1246,N,7141.7926,W
233154,4202.1246,N,7141.7926,W
233155,4202.1247,N,7141.7927,W
233156,4202.1247,N,7141.7927,W
233157,4202.1247,N,7141.7928,W
233158,4202.1247,N,7141.7928,W
233159,4202.1247,N,7141.7928,W
233200,4202.1247,N,7141.7928,W
233201,4202.1246,N,7141.7929,W
233202,4202.1246,N,7141.7929,W
233203,4202.1246,N,7141.7929,W
233204,4202.1246,N,7141.7929,W
233205,4202.1246,N,7141.793,W
233206,4202.1246,N,7141.793,W
233207,4202.1246,N,7141.793,W
233208,4202.1246,N,7141.793,W
233209,4202.1246,N,7141.793,W
233210,4202.1246,N,7141.793,W
233211,4202.1246,N,7141.793,W
233212,4202.1246,N,7141.793,W
233213,4202.1246,N,7141.793,W
233214,4202.1246,N,7141.793,W
233215,4202.1246,N,7141.793,W
233216,4202.1246,N,7141.793,W
233217,4202.1246,N,7141.793,W
233218,4202.1246,N,7141.793,W
233219,4202.1246,N,7141.793,W
233220,4202.1246,N,7141.793,W
233221,4202.1246,N,7141.793,W
233222,4202.1246,N,7141.793,W
233223,4202.1246,N,7141.793,W
233224,4202.1246,N,7141.793,W
233225,4202.1246,N,7141.793,W
233226,4202.1246,N,7141.793,W
233227,4202.1246,N,7141.793,W
233228,4202.1246,N,7141.793,W
233229,4202.1246,N,7141.793,W
233230,4202.1246,N,7141.793,W
233231,4202.1246,N,7141.793,W
233232,4202.1246,N,7141.793,W
233233,4202.1246,N,7141.793,W
233234,4202.1246,N,7141.793,W
233235,4202.1246,N,7141.793,W
233236,4202.1246,N,7141.793,W
233237,4202.1246,N,7141.793,W
233238,4202.1246,N,7141.793,W
233239,4202.1246,N,7141.793,W
233240,4202.1246,N,7141.793,W
233241,4202.1246,N,7141.793,W
233242,4202.1246,N,7141.793,W
233243,4202.1246,N,7141.793,W
233244,4202.1246,N,7141.7929,W
233245,4202.1246,N,7141.7929,W
233246,4202.1246,N,7141.7929,W
233247,4202.1246,N,7141.7929,W
233248,4202.1246,N,7141.7929,W
233249,4202.1246,N,7141.7929,W
233250,4202.1246,N,7141.7929,W
233251,4202.1246,N,7141.7929,W
233252,4202.1246,N,7141.7929,W
233253,4202.1246,N,7141.7929,W
233254,4202.1246,N,7141.7929,W
233255,4202.1246,N,7141.7929,W
233256,4202.1246,N,7141.7929,W
233257,4202.1246,N,7141.7929,W
233258,4202.1246,N,7141.7929,W
233259,4202.1246,N,7141.7929,W
233300,4202.1246,N,7141.7929,W
233301,4202.1246,N,7141.7929,W
233302,4202.1246,N,7141.7929,W
233303,4202.1246,N,7141.7929,W
233304,4202.1246,N,7141.7929,W
