Time,Latitude,Longitude
233134,4202.1241,7141.7917
233135,4202.124,7141.7916
233136,4202.1239,7141.7917
233137,4202.1238,7141.7918
233138,4202.1237,7141.7918
233139,4202.1237,7141.7919
233140,4202.1237,7141.7919
233141,4202.1237,7141.7919
233142,4202.1237,7141.792
233143,4202.1237,7141.792
233144,4202.1238,7141.792
233145,4202.1238,7141.792
233146,4202.1239,7141.7921
233147,4202.1241,7141.7922
233148,4202.1242,7141.7922
233149,4202.1243,7141.7923
233150,4202.1244,7141.7924
233151,4202.1245,7141.7924
233152,4202.1245,7141.7925
233153,4202.1246,7141.7926
233154,4202.1246,7141.7926
233155,4202.1247,7141.7927
233156,4202.1247,7141.7927
233157,4202.1247,7141.7928
233158,4202.1247,7141.7928
233159,4202.1247,7141.7928
233200,4202.1247,7141.7928
233201,4202.1246,7141.7929
233202,4202.1246,7141.7929
233203,4202.1246,7141.7929
233204,4202.1246,7141.7929
233205,4202.1246,7141.793
233206,4202.1246,7141.793
233207,4202.1246,7141.793
233208,4202.1246,7141.793
233209,4202.1246,7141.793
233210,4202.1246,7141.793
233211,4202.1246,7141.793
233212,4202.1246,7141.793
233213,4202.1246,7141.793
233214,4202.1246,7141.793
233215,4202.1246,7141.793
233216,4202.1246,7141.793
233217,4202.1246,7141.793
233218,4202.1246,7141.793
233219,4202.1246,7141.793
233220,4202.1246,7141.793
233221,4202.1246,7141.793
233222,4202.1246,7141.793
233223,4202.1246,7141.793
233224,4202.1246,7141.793
233225,4202.1246,7141.793
233226,4202.1246,7141.793
233227,4202.1246,7141.793
233228,4202.1246,7141.793
233229,4202.1246,7141.793
233230,4202.1246,7141.793
233231,4202.1246,7141.793
233232,4202.1246,7141.793
233233,4202.1246,7141.793
233234,4202.1246,7141.793
233235,4202.1246,7141.793
233236,4202.1246,7141.793
233237,4202.1246,7141.793
233238,4202.1246,7141.793
233239,4202.1246,7141.793
233240,4202.1246,7141.793
233241,4202.1246,7141.793
233242,4202.1246,7141.793
233243,4202.1246,7141.793
233244,4202.1246,7141.7929
233245,4202.1246,7141.7929
233246,4202.1246,7141.7929
233247,4202.1246,7141.7929
233248,4202.1246,7141.7929
233249,4202.1246,7141.7929
233250,4202.1246,7141.7929
233251,4202.1246,7141.7929
233252,4202.1246,7141.7929
233253,4202.1246,7141.7929
233254,4202.1246,7141.7929
233255,4202.1246,7141.7929
233256,4202.1246,7141.7929
233257,4202.1246,7141.7929
233258,4202.1246,7141.7929
233259,4202.1246,7141.7929
233300,4202.1246,7141.7929
233301,4202.1246,7141.7929
233302,4202.1246,7141.7929
233303,4202.1246,7141.7929
233304,4202.1246,7141.7929
233305,4202.1246,7141.7929
233306,4202.1246,7141.7929
233307,4202.1246,7141.7929
233308,4202.1246,7141.7929
233309,4202.1246,7141.7929
233310,4202.1246,7141.7929
233311,4202.1246,7141.7929
233312,4202.1246,7141.7929
233313,4202.1246,7141.7929
233314,4202.1246,7141.7929
233315,4202.1246,7141.7929
233316,4202.1246,7141.7929
233317,4202.1246,7141.7929
233318,4202.1246,7141.7929
233319,4202.1246,7141.7929
233320,4202.1246,7141.7928
233321,4202.1246,7141.7928
233322,4202.1246,7141.7928
233323,4202.1246,7141.7928
233324,4202.1246,7141.7929
233325,4202.1246,7141.7928
233326,4202.1246,7141.7928
233327,4202.1245,7141.7928
233328,4202.1245,7141.7928
233329,4202.1245,7141.7928
233330,4202.1245,7141.7928
233331,4202.1245,7141.7928
233332,4202.1245,7141.7927
233333,4202.1246,7141.7927
233334,4202.1246,7141.7927
233335,4202.1246,7141.7927
233336,4202.1246,7141.7927
233337,4202.1246,7141.7927
233338,4202.1246,7141.7927
233339,4202.1246,7141.7926
233340,4202.1246,7141.7926
233341,4202.1246,7141.7926
233342,4202.1246,7141.7926
233343,4202.1246,7141.7926
233344,4202.1246,7141.7926
233345,4202.1246,7141.7926
233346,4202.1246,7141.7926
233347,4202.1246,7141.7925
233348,4202.1246,7141.7926
233349,4202.1246,7141.7926
233350,4202.1245,7141.7925
233351,4202.1245,7141.7926
233352,4202.1245,7141.7925
233353,4202.1245,7141.7926
233354,4202.1244,7141.7925
233355,4202.1244,7141.7925
233356,4202.1244,7141.7925
233357,4202.1244,7141.7925
233358,4202.1244,7141.7924
233359,4202.1244,7141.7924
233400,4202.1244,7141.7924
233401,4202.1244,7141.7924
233402,4202.1244,7141.7924
233403,4202.1244,7141.7924
233404,4202.1244,7141.7924
233405,4202.1244,7141.7924
233406,4202.1244,7141.7924
233407,4202.1244,7141.7924
233408,4202.1244,7141.7924
233409,4202.1244,7141.7924
233410,4202.1244,7141.7924
233411,4202.1244,7141.7924
233412,4202.1244,7141.7924
233413,4202.1244,7141.7924
233414,4202.1244,7141.7924
233415,4202.1244,7141.7924
233416,4202.1244,7141.7924
233417,4202.1244,7141.7924
233418,4202.1244,7141.7924
233419,4202.1244,7141.7924
233420,4202.1244,7141.7924
233421,4202.1244,7141.7924
233422,4202.1244,7141.7924
233423,4202.1244,7141.7924
233424,4202.1244,7141.7924
233425,4202.1244,7141.7924
233426,4202.1244,7141.7924
233427,4202.1244,7141.7924
233428,4202.1244,7141.7924
233429,4202.1244,7141.7924
233430,4202.1244,7141.7924
233431,4202.1244,7141.7924
233432,4202.1244,7141.7924
233433,4202.1244,7141.7924
233434,4202.1244,7141.7924
233435,4202.1244,7141.7924
233436,4202.1244,7141.7924
233437,4202.1244,7141.7924
233438,4202.1244,7141.7924
233439,4202.1244,7141.7924
233440,4202.1244,7141.7924
233441,4202.1244,7141.7924
233442,4202.1244,7141.7924
233443,4202.1244,7141.7924
233444,4202.1244,7141.7924
233445,4202.1244,7141.7924
233446,4202.1244,7141.7924
233447,4202.1244,7141.7924
233448,4202.1244,7141.7924
233449,4202.1244,7141.7924
233450,4202.1244,7141.7924
233451,4202.1244,7141.7924
233452,4202.1244,7141.7924
233453,4202.1244,7141.7924
233454,4202.1244,7141.7924
233455,4202.1244,7141.7924
233456,4202.1244,7141.7924
233457,4202.1244,7141.7924
233458,4202.1244,7141.7924
233459,4202.1244,7141.7924
233500,4202.1244,7141.7924
233501,4202.1244,7141.7924
233502,4202.1244,7141.7924
233503,4202.1244,7141.7924
233504,4202.1244,7141.7924
233505,4202.1244,7141.7924
233506,4202.1244,7141.7924
233507,4202.1244,7141.7924
233508,4202.1244,7141.7924
233509,4202.1244,7141.7924
233510,4202.1244,7141.7924
233511,4202.1244,7141.7924
233512,4202.1244,7141.7924
233513,4202.1244,7141.7924
233514,4202.1244,7141.7924
233515,4202.1244,7141.7924
233516,4202.1244,7141.7924
233517,4202.1244,7141.7924
233518,4202.1244,7141.7924
233519,4202.1244,7141.7924
233520,4202.1244,7141.7924
233521,4202.1244,7141.7924
233522,4202.1244,7141.7924
233523,4202.1244,7141.7924
233524,4202.1244,7141.7924
233525,4202.1244,7141.7924
233526,4202.1244,7141.7924
233527,4202.1244,7141.7923
233528,4202.1244,7141.7923
233529,4202.1244,7141.7923
233530,4202.1244,7141.7923
233531,4202.1244,7141.7923
233532,4202.1244,7141.7923
233533,4202.1244,7141.7923
233534,4202.1244,7141.7923
233535,4202.1244,7141.7923
233536,4202.1244,7141.7923
233537,4202.1244,7141.7923
233538,4202.1244,7141.7923
233539,4202.1244,7141.7923
233540,4202.1244,7141.7923
233541,4202.1244,7141.7923
233542,4202.1244,7141.7923
233543,4202.1243,7141.7923
233544,4202.1243,7141.7923
233545,4202.1243,7141.7923
233546,4202.1243,7141.7923
233547,4202.1243,7141.7923
233548,4202.1243,7141.7923
233549,4202.1243,7141.7923
233550,4202.1243,7141.7923
233551,4202.1243,7141.7923
233552,4202.1243,7141.7923
233553,4202.1243,7141.7923
233554,4202.1243,7141.7923
233555,4202.1243,7141.7923
233556,4202.1243,7141.7923
233557,4202.1243,7141.7923
233558,4202.1243,7141.7923
233559,4202.1243,7141.7923
233600,4202.1243,7141.7923
233601,4202.1243,7141.7923
233602,4202.1243,7141.7923
233603,4202.1243,7141.7923
233604,4202.1243,7141.7923
233605,4202.1243,7141.7923
233606,4202.1243,7141.7923
233607,4202.1243,7141.7923
233608,4202.1243,7141.7923
233609,4202.1243,7141.7923
