time,Latitude,Longitude
233123,4202.1194,7141.7892
233124,4202.1194,7141.7893
233125,4202.1195,7141.7893
233126,4202.1196,7141.7892
233127,4202.1197,7141.7892
233128,4202.1198,7141.7891
233129,4202.1198,7141.789
233130,4202.1199,7141.789
233131,4202.1199,7141.789
233132,4202.12,7141.789
233133,4202.12,7141.789
233134,4202.12,7141.7889
233135,4202.12,7141.7889
233136,4202.12,7141.7889
233137,4202.1199,7141.7889
233138,4202.1199,7141.789
233139,4202.1198,7141.789
233140,4202.1198,7141.789
233141,4202.1197,7141.789
233142,4202.1197,7141.789
233143,4202.1197,7141.789
233144,4202.1196,7141.7891
233145,4202.1196,7141.7891
233146,4202.1196,7141.7891
233147,4202.1196,7141.7891
233148,4202.1196,7141.7891
233149,4202.1196,7141.7891
233150,4202.1196,7141.7891
233151,4202.1196,7141.789
233152,4202.1196,7141.789
233153,4202.1196,7141.789
233154,4202.1196,7141.789
233155,4202.1196,7141.789
233156,4202.1196,7141.789
233157,4202.1196,7141.789
233158,4202.1196,7141.789
233159,4202.1196,7141.789
233200,4202.1196,7141.789
233201,4202.1196,7141.789
233202,4202.1196,7141.789
233203,4202.1196,7141.789
233204,4202.1196,7141.789
233205,4202.1196,7141.789
233206,4202.1196,7141.789
233207,4202.1196,7141.789
233208,4202.1196,7141.789
233209,4202.1196,7141.789
233210,4202.1196,7141.789
233211,4202.1196,7141.789
233212,4202.1196,7141.789
233213,4202.1196,7141.789
233214,4202.1196,7141.789
233215,4202.1196,7141.789
233216,4202.1196,7141.789
233217,4202.1196,7141.789
233218,4202.1196,7141.789
233219,4202.1196,7141.789
233220,4202.1196,7141.789
233221,4202.1196,7141.789
233222,4202.1196,7141.789
233223,4202.1196,7141.789
233224,4202.1196,7141.789
233225,4202.1196,7141.789
233226,4202.1196,7141.789
233227,4202.1196,7141.789
233228,4202.1196,7141.789
233229,4202.1196,7141.789
233230,4202.1196,7141.789
233231,4202.1196,7141.789
233232,4202.1196,7141.789
233233,4202.1196,7141.7889
233234,4202.1196,7141.7889
233235,4202.1196,7141.7889
233236,4202.1196,7141.7889
233237,4202.1196,7141.7889
233238,4202.1196,7141.7889
233239,4202.1196,7141.7889
233240,4202.1196,7141.789
233241,4202.1196,7141.7889
233242,4202.1196,7141.7889
233243,4202.1196,7141.7888
233244,4202.1196,7141.7888
233245,4202.1196,7141.7888
233246,4202.1196,7141.7887
233247,4202.1196,7141.7887
233248,4202.1196,7141.7886
233249,4202.1196,7141.7886
233250,4202.1196,7141.7885
233251,4202.1196,7141.7885
233252,4202.1196,7141.7885
233253,4202.1196,7141.7885
233254,4202.1196,7141.7884
233255,4202.1196,7141.7884
233256,4202.1196,7141.7884
233257,4202.1196,7141.7884
233258,4202.1196,7141.7883
233259,4202.1196,7141.7883
233300,4202.1196,7141.7883
233301,4202.1196,7141.7882
233302,4202.1196,7141.7882
233303,4202.1196,7141.7882
233304,4202.1196,7141.7881
233305,4202.1196,7141.7881
233306,4202.1196,7141.7881
233307,4202.1195,7141.788
233308,4202.1195,7141.788
233309,4202.1195,7141.7879
233310,4202.1195,7141.7879
233311,4202.1195,7141.7878
233312,4202.1195,7141.7878
233313,4202.1195,7141.7877
233314,4202.1195,7141.7877
233315,4202.1195,7141.7877
233316,4202.1195,7141.7876
233317,4202.1195,7141.7876
233318,4202.1195,7141.7876
233319,4202.1195,7141.7876
233320,4202.1195,7141.7876
233321,4202.1195,7141.7876
233322,4202.1194,7141.7876
233323,4202.1194,7141.7876
233324,4202.1194,7141.7876
233325,4202.1194,7141.7876
233326,4202.1194,7141.7876
233327,4202.1194,7141.7876
233328,4202.1194,7141.7876
233329,4202.1194,7141.7876
233330,4202.1194,7141.7876
233331,4202.1194,7141.7876
233332,4202.1194,7141.7876
233333,4202.1194,7141.7876
233334,4202.1194,7141.7876
233335,4202.1194,7141.7876
233336,4202.1194,7141.7876
233337,4202.1194,7141.7876
233338,4202.1194,7141.7876
233339,4202.1194,7141.7876
233340,4202.1194,7141.7876
233341,4202.1194,7141.7876
233342,4202.1194,7141.7876
233343,4202.1194,7141.7876
233344,4202.1194,7141.7876
233345,4202.1194,7141.7876
233346,4202.1194,7141.7876
233347,4202.1194,7141.7876
233348,4202.1194,7141.7876
233349,4202.1194,7141.7876
233350,4202.1194,7141.7876
233351,4202.1194,7141.7876
233352,4202.1194,7141.7876
233353,4202.1194,7141.7876
233354,4202.1194,7141.7876
233355,4202.1194,7141.7876
233356,4202.1194,7141.7876
233357,4202.1194,7141.7876
233358,4202.1194,7141.7876
233359,4202.1194,7141.7876
233400,4202.1194,7141.7876
233401,4202.1194,7141.7876
233402,4202.1194,7141.7876
233403,4202.1194,7141.7876
233404,4202.1194,7141.7876
233405,4202.1194,7141.7876
233406,4202.1194,7141.7876
233407,4202.1194,7141.7876
233408,4202.1194,7141.7876
233409,4202.1194,7141.7876
233410,4202.1194,7141.7876
233411,4202.1194,7141.7876
233412,4202.1194,7141.7876
233413,4202.1194,7141.7876
233414,4202.1194,7141.7876
233415,4202.1194,7141.7876
233416,4202.1194,7141.7876
233417,4202.1194,7141.7876
233418,4202.1194,7141.7876
233419,4202.1194,7141.7876
233420,4202.1194,7141.7876
233421,4202.1194,7141.7876
233422,4202.1194,7141.7876
233423,4202.1194,7141.7876
233424,4202.1194,7141.7876
233425,4202.1194,7141.7876
233426,4202.1194,7141.7876
233427,4202.1194,7141.7876
233428,4202.1194,7141.7876
233429,4202.1194,7141.7877
233430,4202.1194,7141.7877
233431,4202.1194,7141.7877
233432,4202.1194,7141.7877
233433,4202.1194,7141.7877
233434,4202.1194,7141.7877
233435,4202.1194,7141.7877
233436,4202.1194,7141.7877
233437,4202.1194,7141.7877
233438,4202.1194,7141.7877
233439,4202.1194,7141.7877
233440,4202.1194,7141.7877
233441,4202.1194,7141.7877
233442,4202.1194,7141.7877
233443,4202.1194,7141.7877
233444,4202.1194,7141.7877
233445,4202.1194,7141.7877
233446,4202.1194,7141.7876
233447,4202.1194,7141.7876
233448,4202.1194,7141.7876
233449,4202.1194,7141.7876
233450,4202.1194,7141.7876
233451,4202.1194,7141.7876
233452,4202.1194,7141.7876
233453,4202.1194,7141.7876
233454,4202.1194,7141.7876
233455,4202.1194,7141.7876
233456,4202.1194,7141.7876
233457,4202.1194,7141.7876
233458,4202.1194,7141.7876
233459,4202.1194,7141.7877
233500,4202.1194,7141.7877
233501,4202.1194,7141.7877
233502,4202.1194,7141.7877
233503,4202.1194,7141.7877
233504,4202.1194,7141.7877
233505,4202.1194,7141.7877
233506,4202.1194,7141.7877
233507,4202.1194,7141.7877
233508,4202.1194,7141.7877
233509,4202.1194,7141.7877
233510,4202.1194,7141.7877
233511,4202.1194,7141.7877
233512,4202.1194,7141.7877
233513,4202.1194,7141.7877
233514,4202.1194,7141.7877
233515,4202.1194,7141.7877
233516,4202.1194,7141.7877
233517,4202.1194,7141.7877
233518,4202.1194,7141.7877
233519,4202.1194,7141.7877
233520,4202.1194,7141.7877
233521,4202.1194,7141.7877
233522,4202.1194,7141.7877
233523,4202.1194,7141.7877
233524,4202.1194,7141.7877
233525,4202.1194,7141.7877
233526,4202.1194,7141.7877
233527,4202.1194,7141.7877
233528,4202.1194,7141.7877
233529,4202.1194,7141.7877
233530,4202.1194,7141.7877
233531,4202.1194,7141.7877
233532,4202.1194,7141.7877
233533,4202.1194,7141.7876
233534,4202.1194,7141.7876
233535,4202.1194,7141.7876
233536,4202.1194,7141.7876
233537,4202.1194,7141.7876
233538,4202.1194,7141.7876
233539,4202.1194,7141.7876
233540,4202.1194,7141.7876
233541,4202.1194,7141.7876
233542,4202.1194,7141.7876
233543,4202.1194,7141.7876
233544,4202.1194,7141.7876
233545,4202.1194,7141.7876
233546,4202.1194,7141.7876
233547,4202.1194,7141.7876
233548,4202.1194,7141.7876
233549,4202.1194,7141.7877
233550,4202.1194,7141.7877
233551,4202.1194,7141.7877
233552,4202.1194,7141.7877
233553,4202.1194,7141.7877
233554,4202.1194,7141.7877
233555,4202.1194,7141.7877
233556,4202.1194,7141.7877
233557,4202.1194,7141.7877
233558,4202.1194,7141.7877
233559,4202.1194,7141.7877
233600,4202.1194,7141.7877
233601,4202.1194,7141.7877
233602,4202.1194,7141.7877
233603,4202.1194,7141.7877
233604,4202.1194,7141.7877
233605,4202.1194,7141.7877
233606,4202.1194,7141.7877
233607,4202.1194,7141.7877
233608,4202.1194,7141.7877
233609,4202.1194,7141.7877
233610,4202.1194,7141.7877
233611,4202.1194,7141.7877
233612,4202.1194,7141.7877
233613,4202.1194,7141.7877
233614,4202.1194,7141.7877
233615,4202.1194,7141.7877
233616,4202.1194,7141.7877
233617,4202.1194,7141.7877
233618,4202.1194,7141.7877
233619,4202.1194,7141.7877
233620,4202.1194,7141.7877
233621,4202.1194,7141.7877
233622,4202.1194,7141.7877
233623,4202.1194,7141.7877
233624,4202.1194,7141.7877
233625,4202.1194,7141.7877
233626,4202.1194,7141.7877
233627,4202.1194,7141.7877
233628,4202.1194,7141.7877
233629,4202.1194,7141.7877
233630,4202.1194,7141.7877
233631,4202.1194,7141.7877
233632,4202.1194,7141.7877
233633,4202.1194,7141.7877
233634,4202.1194,7141.7877
233635,4202.1194,7141.7877
233636,4202.1194,7141.7877
233637,4202.1194,7141.7877
233638,4202.1194,7141.7877
233639,4202.1194,7141.7877
233640,4202.1194,7141.7877
233641,4202.1194,7141.7877
233642,4202.1194,7141.7877
233643,4202.1194,7141.7877
233644,4202.1194,7141.7877
233645,4202.1194,7141.7877
233646,4202.1194,7141.7877
233647,4202.1194,7141.7877
233648,4202.1194,7141.7877
233649,4202.1194,7141.7877
233650,4202.1194,7141.7877
233651,4202.1194,7141.7877
233652,4202.1194,7141.7877
233653,4202.1194,7141.7877
233654,4202.1194,7141.7877
233655,4202.1194,7141.7877
233656,4202.1194,7141.7877
233657,4202.1194,7141.7877
233658,4202.1194,7141.7877
233659,4202.1194,7141.7877
233700,4202.1194,7141.7877
233701,4202.1194,7141.7877
233702,4202.1194,7141.7877
233703,4202.1194,7141.7877
233704,4202.1194,7141.7877
233705,4202.1194,7141.7877
233706,4202.1194,7141.7877
233707,4202.1194,7141.7877
233708,4202.1194,7141.7877
233709,4202.1194,7141.7877
233710,4202.1194,7141.7877
233711,4202.1194,7141.7877
233712,4202.1194,7141.7877
233713,4202.1194,7141.7877
233714,4202.1194,7141.7877
233715,4202.1194,7141.7877
233716,4202.1194,7141.7877
233717,4202.1194,7141.7877
233718,4202.1194,7141.7877
233719,4202.1194,7141.7877
233720,4202.1194,7141.7877
233721,4202.1194,7141.7877
233722,4202.1194,7141.7877
233723,4202.1194,7141.7877
233724,4202.1194,7141.7877
233725,4202.1194,7141.7877
233726,4202.1194,7141.7877
233727,4202.1194,7141.7877
233728,4202.1194,7141.7877
233729,4202.1194,7141.7877
233730,4202.1194,7141.7877
233731,4202.1194,7141.7877
233732,4202.1194,7141.7877
233733,4202.1194,7141.7877
233734,4202.1194,7141.7877
233735,4202.1194,7141.7877
233736,4202.1194,7141.7877
233737,4202.1194,7141.7877
233738,4202.1194,7141.7877
233739,4202.1194,7141.7877
233740,4202.1194,7141.7877
233741,4202.1194,7141.7877
233742,4202.1194,7141.7877
233743,4202.1194,7141.7877
233744,4202.1194,7141.7877
233745,4202.1194,7141.7877
233746,4202.1194,7141.7877
233747,4202.1194,7141.7877
233748,4202.1194,7141.7877
233749,4202.1194,7141.7877
233750,4202.1194,7141.7877
233751,4202.1194,7141.7877
233752,4202.1194,7141.7877
233753,4202.1194,7141.7877
233754,4202.1194,7141.7877
233755,4202.1194,7141.7877
233756,4202.1194,7141.7877
233757,4202.1194,7141.7877
233758,4202.1194,7141.7877
233759,4202.1194,7141.7877
233800,4202.1194,7141.7877
233801,4202.1194,7141.7877
233802,4202.1194,7141.7877
233803,4202.1194,7141.7877
233804,4202.1194,7141.7877
233805,4202.1194,7141.7877
233806,4202.1194,7141.7877
233807,4202.1194,7141.7877
233808,4202.1194,7141.7877
233809,4202.1194,7141.7877
233810,4202.1194,7141.7877
233811,4202.1194,7141.7877
233812,4202.1194,7141.7877
233813,4202.1194,7141.7877
233814,4202.1193,7141.7877
233815,4202.1193,7141.7877
233816,4202.1193,7141.7877
233817,4202.1193,7141.7877
233818,4202.1193,7141.7877
233819,4202.1193,7141.7877
233820,4202.1193,7141.7877
233821,4202.1193,7141.7877
233822,4202.1193,7141.7877
233823,4202.1193,7141.7877
233824,4202.1193,7141.7877
233825,4202.1193,7141.7877
233826,4202.1193,7141.7877
233827,4202.1193,7141.7877
233828,4202.1193,7141.7877
233829,4202.1193,7141.7877
233830,4202.1193,7141.7877
233831,4202.1193,7141.7877
233832,4202.1193,7141.7877
233833,4202.1193,7141.7877
233834,4202.1193,7141.7877
233835,4202.1193,7141.7877
233836,4202.1193,7141.7877
233837,4202.1193,7141.7877
233838,4202.1193,7141.7877
233839,4202.1193,7141.7877
233840,4202.1193,7141.7877
233841,4202.1193,7141.7877
233842,4202.1193,7141.7877
233843,4202.1193,7141.7877
233844,4202.1193,7141.7877
233845,4202.1193,7141.7877
233846,4202.1193,7141.7877
233847,4202.1193,7141.7877
233848,4202.1193,7141.7877
233849,4202.1193,7141.7877
233850,4202.1193,7141.7877
233851,4202.1193,7141.7877
233852,4202.1193,7141.7877
233853,4202.1193,7141.7877
233854,4202.1193,7141.7877
233855,4202.1193,7141.7877
233856,4202.1193,7141.7877
233857,4202.1193,7141.7877
233858,4202.1193,7141.7877
233859,4202.1193,7141.7877
233900,4202.1193,7141.7877
233901,4202.1193,7141.7877
233902,4202.1193,7141.7877
233903,4202.1193,7141.7877
233904,4202.1193,7141.7877
233905,4202.1193,7141.7877
233906,4202.1193,7141.7877
233907,4202.1193,7141.7877
233908,4202.1193,7141.7877
233909,4202.1193,7141.7877
233910,4202.1193,7141.7877
233911,4202.1193,7141.7877
233912,4202.1193,7141.7877
233913,4202.1193,7141.7877
233914,4202.1193,7141.7877
233915,4202.1193,7141.7877
233916,4202.1193,7141.7877
233917,4202.1193,7141.7877
233918,4202.1193,7141.7877
233919,4202.1193,7141.7877
233920,4202.1193,7141.7877
233921,4202.1193,7141.7877
233922,4202.1193,7141.7877
233923,4202.1193,7141.7877
233924,4202.1193,7141.7877
233925,4202.1193,7141.7877
233926,4202.1193,7141.7877
233927,4202.1193,7141.7877
233928,4202.1193,7141.7877
233929,4202.1193,7141.7877
233930,4202.1193,7141.7877
233931,4202.1193,7141.7877
233932,4202.1193,7141.7877
233933,4202.1193,7141.7877
233934,4202.1193,7141.7877
233935,4202.1193,7141.7877
233936,4202.1193,7141.7877
233937,4202.1193,7141.7877
233938,4202.1193,7141.7877
233939,4202.1193,7141.7877
233940,4202.1193,7141.7877
233941,4202.1193,7141.7877
233942,4202.1193,7141.7877
233943,4202.1193,7141.7877
233944,4202.1193,7141.7877
233945,4202.1193,7141.7877
233946,4202.1193,7141.7877
233947,4202.1193,7141.7877
233948,4202.1193,7141.7877
233949,4202.1193,7141.7877
233950,4202.1193,7141.7877
233951,4202.1193,7141.7877
233952,4202.1193,7141.7877
233953,4202.1193,7141.7877
233954,4202.1193,7141.7877
233955,4202.1193,7141.7877
233956,4202.1193,7141.7877
233957,4202.1193,7141.7877
233958,4202.1193,7141.7877
233959,4202.1193,7141.7877
234000,4202.1193,7141.7877
234001,4202.1193,7141.7877
234002,4202.1193,7141.7877
234003,4202.1193,7141.7877
234004,4202.1193,7141.7877
234005,4202.1193,7141.7877
234006,4202.1193,7141.7877
234007,4202.1193,7141.7877
234008,4202.1193,7141.7877
234009,4202.1193,7141.7877
234010,4202.1193,7141.7877
234011,4202.1193,7141.7877
234012,4202.1193,7141.7877
234013,4202.1193,7141.7877
234014,4202.1193,7141.7877
234015,4202.1193,7141.7877
234016,4202.1193,7141.7877
234017,4202.1193,7141.7877
234018,4202.1193,7141.7877
234019,4202.1193,7141.7877
234020,4202.1193,7141.7877
234021,4202.1193,7141.7877
234022,4202.1193,7141.7877
234023,4202.1193,7141.7877
234024,4202.1193,7141.7877
234025,4202.1193,7141.7877
234026,4202.1193,7141.7877
234027,4202.1193,7141.7877
234028,4202.1193,7141.7877
234029,4202.1193,7141.7877
234030,4202.1193,7141.7877
234031,4202.1193,7141.7877
234032,4202.1193,7141.7877
234033,4202.1193,7141.7877
234034,4202.1193,7141.7877
234035,4202.1193,7141.7877
234036,4202.1193,7141.7877
234037,4202.1193,7141.7877
234038,4202.1193,7141.7877
234039,4202.1193,7141.7877
234040,4202.1193,7141.7877
234041,4202.1193,7141.7877
234042,4202.1193,7141.7877
234043,4202.1193,7141.7877
234044,4202.1193,7141.7877
234045,4202.1193,7141.7877
234046,4202.1193,7141.7877
234047,4202.1193,7141.7877
234048,4202.1193,7141.7877
234049,4202.1193,7141.7877
234050,4202.1193,7141.7877
234051,4202.1193,7141.7877
234052,4202.1193,7141.7877
