time,Latitude,,Longitude,
234947,4202.1145,N,7141.7858,W
234948,4202.1146,N,7141.7858,W
234949,4202.1146,N,7141.7858,W
234950,4202.1147,N,7141.7859,W
234951,4202.1146,N,7141.7859,W
234952,4202.1146,N,7141.7859,W
234953,4202.1146,N,7141.786,W
234954,4202.1146,N,7141.786,W
234955,4202.1145,N,7141.7861,W
234956,4202.1145,N,7141.7861,W
234957,4202.1144,N,7141.7861,W
234958,4202.1143,N,7141.7861,W
234959,4202.1142,N,7141.7861,W
235000,4202.1142,N,7141.7861,W
235001,4202.1141,N,7141.7862,W
235002,4202.114,N,7141.7862,W
235003,4202.1139,N,7141.7863,W
235004,4202.1139,N,7141.7863,W
235005,4202.1138,N,7141.7863,W
235006,4202.1137,N,7141.7863,W
235007,4202.1137,N,7141.7863,W
235008,4202.1136,N,7141.7863,W
235009,4202.1136,N,7141.7862,W
235010,4202.1136,N,7141.7862,W
235011,4202.1136,N,7141.7862,W
235012,4202.1136,N,7141.7862,W
235013,4202.1136,N,7141.7862,W
235014,4202.1136,N,7141.7862,W
235015,4202.1136,N,7141.7862,W
235016,4202.1136,N,7141.7862,W
235017,4202.1136,N,7141.7862,W
235018,4202.1136,N,7141.7862,W
235019,4202.1136,N,7141.7862,W
235020,4202.1136,N,7141.7862,W
235021,4202.1136,N,7141.7862,W
235022,4202.1136,N,7141.7862,W
235023,4202.1136,N,7141.7862,W
235024,4202.1136,N,7141.7862,W
235025,4202.1136,N,7141.7862,W
235026,4202.1136,N,7141.7862,W
235027,4202.1136,N,7141.7862,W
235028,4202.1136,N,7141.7862,W
235029,4202.1136,N,7141.7862,W
235030,4202.1136,N,7141.7862,W
235031,4202.1136,N,7141.7862,W
235032,4202.1136,N,7141.7862,W
235033,4202.1136,N,7141.7862,W
235034,4202.1136,N,7141.7862,W
235035,4202.1136,N,7141.7862,W
235036,4202.1136,N,7141.7862,W
235037,4202.1136,N,7141.7862,W
235038,4202.1136,N,7141.7862,W
235039,4202.1136,N,7141.7862,W
235040,4202.1136,N,7141.7862,W
235041,4202.1136,N,7141.7862,W
235042,4202.1136,N,7141.7862,W
235043,4202.1136,N,7141.7862,W
235044,4202.1136,N,7141.7862,W
235045,4202.1136,N,7141.7862,W
235046,4202.1136,N,7141.7862,W
235047,4202.1136,N,7141.7862,W
235048,4202.1136,N,7141.7862,W
235049,4202.1136,N,7141.7862,W
235050,4202.1136,N,7141.7862,W
235051,4202.1136,N,7141.7862,W
235052,4202.1136,N,7141.7862,W
235053,4202.1136,N,7141.7862,W
235054,4202.1136,N,7141.7862,W
235055,4202.1136,N,7141.7862,W
235056,4202.1136,N,7141.7862,W
235057,4202.1136,N,7141.7862,W
235058,4202.1136,N,7141.7862,W
235059,4202.1136,N,7141.7862,W
235100,4202.1136,N,7141.7862,W
235101,4202.1136,N,7141.7862,W
235102,4202.1136,N,7141.7862,W
235103,4202.1136,N,7141.7862,W
235104,4202.1136,N,7141.7862,W
235105,4202.1136,N,7141.7862,W
235106,4202.1136,N,7141.7862,W
235107,4202.1136,N,7141.7862,W
235108,4202.1136,N,7141.7862,W
235109,4202.1136,N,7141.7862,W
235110,4202.1136,N,7141.7862,W
235111,4202.1136,N,7141.7862,W
235112,4202.1136,N,7141.7862,W
235113,4202.1135,N,7141.7862,W
235114,4202.1135,N,7141.7862,W
235115,4202.1135,N,7141.7861,W
235116,4202.1135,N,7141.7861,W
235117,4202.1135,N,7141.786,W
235118,4202.1135,N,7141.786,W
235119,4202.1135,N,7141.786,W
235120,4202.1135,N,7141.786,W
235121,4202.1134,N,7141.786,W
235122,4202.1134,N,7141.7859,W
235123,4202.1134,N,7141.7859,W
235124,4202.1134,N,7141.7859,W
235125,4202.1134,N,7141.7859,W
235126,4202.1134,N,7141.7859,W
235127,4202.1134,N,7141.7859,W
235128,4202.1134,N,7141.7859,W
235129,4202.1134,N,7141.7859,W
235130,4202.1135,N,7141.7859,W
235131,4202.1135,N,7141.7859,W
235132,4202.1135,N,7141.7859,W
235133,4202.1136,N,7141.7858,W
235134,4202.1136,N,7141.7858,W
235135,4202.1137,N,7141.7858,W
235136,4202.1137,N,7141.7857,W
235137,4202.1138,N,7141.7857,W
235138,4202.1138,N,7141.7856,W
235139,4202.1139,N,7141.7856,W
235140,4202.1139,N,7141.7856,W
235141,4202.1139,N,7141.7856,W
235142,4202.114,N,7141.7856,W
235143,4202.114,N,7141.7856,W
235144,4202.114,N,7141.7856,W
235145,4202.114,N,7141.7855,W
235146,4202.114,N,7141.7855,W
235147,4202.1141,N,7141.7855,W
235148,4202.1141,N,7141.7854,W
235149,4202.1141,N,7141.7854,W
235150,4202.1141,N,7141.7853,W
235151,4202.1142,N,7141.7853,W
235152,4202.1142,N,7141.7853,W
235153,4202.1142,N,7141.7853,W
235154,4202.1142,N,7141.7853,W
235155,4202.1142,N,7141.7854,W
235156,4202.1142,N,7141.7854,W
235157,4202.1142,N,7141.7854,W
235158,4202.1142,N,7141.7854,W
235159,4202.1142,N,7141.7854,W
235200,4202.1142,N,7141.7854,W
235201,4202.1142,N,7141.7854,W
235202,4202.1142,N,7141.7854,W
235203,4202.1142,N,7141.7854,W
235204,4202.1142,N,7141.7854,W
235205,4202.1142,N,7141.7854,W
235206,4202.1142,N,7141.7854,W
235207,4202.1142,N,7141.7854,W
235208,4202.1142,N,7141.7854,W
235209,4202.1142,N,7141.7854,W
235210,4202.1142,N,7141.7854,W
235211,4202.1142,N,7141.7854,W
235212,4202.1142,N,7141.7854,W
235213,4202.1142,N,7141.7854,W
235214,4202.1142,N,7141.7854,W
235215,4202.1142,N,7141.7854,W
235216,4202.1142,N,7141.7854,W
